geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0008202	steroid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0008202	276	39	13.334675390035228	2.9247056159420293	1.4813681392666922e-9	1.202870929084554e-6	11607;11806;11812;11814;11816;12359;12724;13076;13106;13850;14385;14979;15360;15483;15485;15486;16000;16816;16971;17777;18979;18984;19014;20280;20850;26424;26458;26459;56448;66113;67800;67815;72017;72999;74032;83702;217166;226144;235623	Pon1;Apoe;Sec14l2;Insig2;Stat5a;Por;Hsd11b1;Med1;Hsd17b1;Igf1;Nr1d1;Akr1c6;Ephx2;Clcn2;Erlin1;Cyp2e1;Nr5a2;Cyb5r1;Cat;Slc27a2;Hmgcs2;Mttp;Scp2;Slc27a5;Dgat2;Hsd17b2;Apoa5;Apoc3;Apoa1;Slc37a4;Cyp1a1;Scap;Sdr42e1;Lcat;Lrp1;Apoc1;Agtr1a;Cyp2d22;H2-Ke6
GO:0006091	generation of precursor metabolites and energy	http://amigo.geneontology.org/amigo/term/GO:0006091	389	46	18.794162053346753	2.447568551842331	1.6756081189228667e-8	6.802968962826839e-6	11429;11674;11814;11848;12176;12359;12499;12865;12869;13808;14385;14527;14533;16000;16195;16548;16828;17319;17869;17995;18682;18984;19013;19045;22272;22436;26384;26459;30956;52637;57320;64384;66359;66416;66592;68263;68267;68550;69181;74178;96979;107197;217166;225887;320720;100126824	Por;Rhoa;Slc25a22;Igf1;Nr1d1;Entpd5;Pdhb;Il6st;Myc;Ppara;Aco2;Xdh;Gcgr;Sirt3;Cox8b;Phkg1;Cox20;Ptges2;Fastkd1;Cat;Stoml2;Dyrk2;Park7;Khk;Aass;Slc27a5;Aldoa;Apoc3;Slc37a4;Mif;Cisd1;Ndufv1;Ppp1ca;Ndufa7;Stk40;Uqcrq;Tefm;Gnpda1;Ndufs8;Eno3;Ldha;Uqcc3;Cox7a1;Bnip3;Bloc1s1;Sco2
GO:0062012	regulation of small molecule metabolic process	http://amigo.geneontology.org/amigo/term/GO:0062012	331	40	15.991947659788625	2.5012588116817724	8.14426210915542e-8	2.204380277544734e-5	11812;11814;11816;11848;12499;12724;12865;12894;13850;14527;15378;15483;16000;16010;16548;17319;17691;17869;18984;19013;19045;20280;20869;22259;57320;59090;66113;66887;67078;67800;67815;68734;69181;72674;72999;75387;212980;217166;226144;235623	Nr1h3;Apoe;Stk11;Sec14l2;Insig2;Por;Rhoa;Hsd11b1;Igfbp4;Hnf4a;Igf1;Nr1d1;Entpd5;Ephx2;Myc;Ppara;Clcn2;Sik1;Cpt1a;Gcgr;Erlin1;Slc45a3;Adipor1;Scp2;Dyrk2;Park7;Khk;Sirt4;Dgat2;Apoa5;Apoc3;Scap;Mif;Midn;Ppp1ca;Apoc1;Ppp4r3a;Pgp;Lonp2;Cox7a1
GO:0046486	glycerolipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0046486	323	39	15.605435329642678	2.4991292569659445	1.212722062771121e-7	2.4618257874253757e-5	11727;11806;11812;11814;11816;12359;12660;12894;13106;14385;16195;16332;16816;17691;17777;18979;22259;23945;26459;28042;55979;66113;66592;66853;67078;67512;67800;68671;70325;72999;76500;77583;99712;170749;212862;214253;219024;230801;232086	Nr1h3;Pon1;Apoe;Insig2;Mtmr4;Il6st;Sik1;Chka;Cpt1a;Pcyt2;Cyp2e1;Pnpla2;Agpat2;Cat;Mttp;Stoml2;Slc27a5;Dgat2;Apoa5;Apoc3;Apoa1;Slc37a4;Ip6k2;Inppl1;Mgll;Agpat1;Lcat;Pip4p1;Apoc1;Cept1;Notum;Pigv;Pgp;Pigw;Tmem150a;Chpt1;Etnk2;Ang;Selenoi
GO:0044282	small molecule catabolic process	http://amigo.geneontology.org/amigo/term/GO:0044282	328	39	15.847005535983895	2.461032774390244	1.823146935642228e-7	2.9607906234829786e-5	11720;11816;12041;12411;12894;13076;15445;15586;15587;16548;16828;16922;17308;18950;18979;20425;26384;26458;30956;52430;56189;56720;66194;66887;67460;70266;70789;76282;76974;93732;102632;104174;109685;212647;216456;224530;234724;235674;434437	Tat;Pon1;Apoe;Hyal2;Hyal1;Acaa1b;Mgat1;Shmt1;Acox2;Gpt;Pycrl;Cbs;Gldc;Cpt1a;Urah;Phyh;Kynu;Slc27a2;Tdo2;Decr1;Echdc2;Aldh4a1;Khk;Hpd;Aass;Bckdk;Cyp1a1;Amt;Hyal3;Prodh2;Mat1a;Kyat1;Gls2;Lonp2;Gnpda1;Acat3;Ldha;Acad11;Pnp
GO:0055088	lipid homeostasis	http://amigo.geneontology.org/amigo/term/GO:0055088	130	21	6.280825364871665	3.3435096153846158	1.03792752481624e-6	1.4046619169179783e-4	11425;11806;11814;11816;13660;13850;14385;15378;16816;16891;17777;22259;22433;26424;66113;66853;67800;77371;93732;109674;217166	Nr1h3;Apoe;Hnf4a;Xbp1;Nr1d1;Acox2;Ephx2;Ehd1;Pnpla2;Nr5a2;Ampd2;Mttp;Dgat2;Apoa5;Apoc3;Apoa1;Slc37a4;Lcat;Sec24a;Lipg;Apoc4
GO:0030258	lipid modification	http://amigo.geneontology.org/amigo/term/GO:0030258	224	29	10.822345244086563	2.6796409970238093	1.2323934901470324e-6	1.4295764485705575e-4	11607;11806;11816;12894;13076;13850;14421;16332;16816;16922;18984;19013;26458;52430;66113;66887;67460;67800;72674;75387;76500;93732;102632;170749;219024;224530;228368;232086;235674	Apoe;Por;B4galnt1;Acaa1b;Mtmr4;Acox2;Ephx2;Ppara;Cpt1a;Adipor1;Phyh;Slc27a2;Decr1;Echdc2;Sirt4;Dgat2;Apoa5;Apoa1;Cyp1a1;Ip6k2;Inppl1;Lcat;Pip4p1;Lonp2;Agtr1a;Slc35c1;Tmem150a;Acat3;Acad11
GO:0042180	cellular ketone metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042180	182	25	8.793155510820332	2.843120421245421	2.2586151763315243e-6	2.2924944039764972e-4	11674;11812;12724;12894;15378;15485;19013;20280;22259;56720;57320;66113;66887;67800;70266;70789;72999;75387;83702;212980;217166;226144;229905;235623;545817	Nr1h3;Insig2;Hnf4a;Hsd17b1;Nr1d1;Akr1c6;Ppara;Clcn2;Cpt1a;Erlin1;Slc45a3;Kynu;Tdo2;Scp2;Park7;Sirt4;Cyp2w1;Aldoa;Dgat2;Apoa5;Scap;Kyat1;Kyat3;Apoc1;Lonp2
GO:0006638	neutral lipid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006638	121	19	5.845998993457473	3.25008608815427	5.182637374145926e-6	4.6758906086738803e-4	11727;11806;11812;11814;11816;12359;12894;13106;14385;16195;17691;17777;22259;23945;26459;66113;66853;67800;72999	Nr1h3;Apoe;Insig2;Il6st;Sik1;Cpt1a;Cyp2e1;Pnpla2;Cat;Mttp;Slc27a5;Dgat2;Apoa5;Apoc3;Apoa1;Slc37a4;Mgll;Apoc1;Ang
GO:0005996	monosaccharide metabolic process	http://amigo.geneontology.org/amigo/term/GO:0005996	253	29	12.223452440865627	2.3724884716732544	1.399381578537362e-5	0.001136297841772338	11674;12894;14527;15378;15379;16000;16010;16332;16548;16828;17158;17691;17869;19013;19045;20869;26384;56017;59090;67078;67800;68263;68734;69181;72094;72674;74343;212980;217166	Stk11;Igfbp4;Hnf4a;Igf1;Nr1d1;Pdhb;Myc;Ppara;Sik1;Man2a1;Cpt1a;Gcgr;Slc45a3;Adipor1;Slc2a8;Crtc2;Dyrk2;Khk;Aldoa;Dgat2;Inppl1;Midn;Ugt2a3;Ppp1ca;Ppp4r3a;Onecut1;Pgp;Gnpda1;Ldha
